ID	Year_Birth	Education	Marital_Status	Income	Kidhome	Teenhome	Dt_Customer	Recency	MntWines	MntFruits	MntMeatProducts	MntFishProducts	MntSweetProducts	MntGoldProds	NumDealsPurchases	NumWebPurchases	NumCatalogPurchases	NumStorePurchases	NumWebVisitsMonth	AcceptedCmp3	AcceptedCmp4	AcceptedCmp5	AcceptedCmp1	AcceptedCmp2	Complain	Z_CostContact	Z_Revenue	Response
1	1990	Master	Single	0.0	0	0	01-01-2020	30	51000.0	17000.0	34000.0	25500.0	17000.0	25500.0	1	1	0	1	1	0	0	0	0	0	0	3	11	1
2	1990	Master	Single	0.0	0	0	01-01-2020	30	28500.0	9500.0	19000.0	14250.0	9500.0	14250.0	1	1	0	1	1	0	0	0	0	0	0	3	11	1
3	1990	Master	Single	2000000000.0	0	0	01-01-2020	30	108000.0	36000.0	72000.0	54000.0	36000.0	54000.0	2	4	2	2	6	0	0	0	0	0	0	3	11	1
4	1990	Master	Single	0.0	0	0	01-01-2020	30	31.85	15.83	15.12	16.53	10.21	21.48	0	0	0	0	1	0	0	0	0	0	0	3	11	0
5	1990	Master	Single	1000000000.0	1	2	01-01-2020	30	256500.0	85500.0	171000.0	128250.0	85500.0	128250.0	5	5	2	5	6	0	0	0	0	0	0	3	11	1
6	1990	Master	Single	2000000.0	0	0	01-01-2020	30	2.14	7.51	7.39	8.42	6.62	8.29	0	0	0	0	1	0	0	0	0	0	0	3	11	0
7	1990	Graduation	Single	0.0	0	0	01-01-2020	30	23.66	12.89	21.47	8.66	12.27	10.08	0	1	0	0	2	0	0	0	0	0	0	3	11	0
8	1990	Master	Single	500000000.0	0	0	01-01-2020	30	344.42	133.57	185.94	77.63	65.97	0.0	0	0	0	0	1	0	0	0	0	0	0	3	11	0
9	1990	Master	Single	0.0	0	0	01-01-2020	30	29.05	13.81	20.55	16.17	3.85	28.35	0	0	0	0	1	0	0	0	0	0	0	3	11	0
10	1990	Master	Single	1000000000.0	0	0	01-01-2020	30	265.7	136.05	171.24	80.62	214.82	81.55	0	1	0	0	2	0	0	0	0	0	0	3	11	0
11	1990	Master	Single	1000000.0	0	0	01-01-2020	30	147000.0	49000.0	98000.0	73500.0	49000.0	73500.0	3	3	1	3	3	0	0	0	0	0	0	3	11	1
12	1990	Master	Single	0.0	0	0	01-01-2020	30	34.34	0.0	18.39	13.61	8.28	20.51	0	2	1	0	5	0	0	0	0	0	0	3	11	0
13	1990	Master	Single	70000000.0	5	5	01-01-2020	30	45000.0	15000.0	30000.0	22500.0	15000.0	22500.0	1	1	0	1	2	0	0	0	0	0	0	3	11	1
14	1990	Master	Single	50000000.0	0	0	01-01-2020	30	57000.0	19000.0	38000.0	28500.0	19000.0	28500.0	1	0	0	1	0	0	0	0	0	0	0	3	11	1
15	1990	Master	Single	50000000.0	0	0	01-01-2020	30	60.21	19.65	34.97	32.24	29.34	0.0	0	1	0	0	2	0	0	0	0	0	0	3	11	0
16	1990	Master	Married	10000000.0	0	0	01-01-2020	30	60000.0	20000.0	40000.0	30000.0	20000.0	30000.0	1	0	0	1	0	0	0	0	0	0	0	3	11	1
17	1990	Master	Single	2000000.0	0	0	01-01-2020	30	45000.0	15000.0	30000.0	22500.0	15000.0	22500.0	1	1	0	1	2	0	0	0	0	0	0	3	11	1
18	1990	Master	Single	0.0	0	0	01-01-2020	30	33000.0	11000.0	22000.0	16500.0	11000.0	16500.0	1	0	0	1	0	0	0	0	0	0	0	3	11	1
19	1990	Master	Single	0.0	0	0	01-01-2020	30	23.76	3.97	17.95	13.04	18.12	0.0	0	0	0	0	1	0	0	0	0	0	0	3	11	0
20	1990	Master	Single	50000000.0	0	0	01-01-2020	30	109.77	13.13	20.75	27.11	14.14	32.79	0	2	1	0	4	0	0	0	0	0	0	3	11	0
21	1990	Master	Single	0.0	0	0	01-01-2020	30	45000.0	15000.0	30000.0	22500.0	15000.0	22500.0	1	0	0	1	0	0	0	0	0	0	0	3	11	1
22	1990	Basic	Single	0.0	0	0	01-01-2020	30	29.62	9.37	19.19	19.99	3.91	25.53	0	0	0	0	1	0	0	0	0	0	0	3	11	0
23	1990	Master	Single	100000000.0	0	0	01-01-2020	30	232.68	69.64	48.33	94.02	32.84	16.81	0	0	0	0	1	0	0	0	0	0	0	3	11	0
24	1990	Master	Single	0.0	0	0	01-01-2020	30	30.95	15.27	18.97	15.54	8.03	2.61	0	0	0	0	1	0	0	0	0	0	0	3	11	0
25	1990			0.0	0	0	01-01-2020	30	45000.0	15000.0	30000.0	22500.0	15000.0	22500.0	1	2	1	1	3	0	0	0	0	0	0	3	11	1
26	1990	Master	Single	200000000.0	0	0	01-01-2020	30	54000.0	18000.0	36000.0	27000.0	18000.0	27000.0	1	1	0	1	1	0	0	0	0	0	0	3	11	1
27	1990	Master	Single	0.0	0	0	01-01-2020	30	25.15	3.03	19.72	17.93	7.66	4.07	0	0	0	0	1	0	0	0	0	0	0	3	11	0
28	1990	Master	Single	0.0	0	0	01-01-2020	30	24.13	22.25	21.45	19.26	7.51	20.51	0	1	0	0	2	0	0	0	0	0	0	3	11	0
29	1990	Basic	Single	100000000.0	1	1	01-01-2020	30	170.28	78.3	126.14	50.56	31.65	84.99	0	0	0	0	1	0	0	0	0	0	0	3	11	0
30	1990	Master	Single	10000000.0	0	0	01-01-2020	30	13.67	8.12	8.96	7.09	2.96	0.0	0	1	0	0	2	0	0	0	0	0	0	3	11	0
31	1990	Master	Single	4000000.0	0	0	01-01-2020	30	13.08	7.36	18.37	5.66	10.15	5.8	0	0	0	0	1	0	0	0	0	0	0	3	11	0
32	1990	Master	Single	5000000.0	0	0	01-01-2020	30	33000.0	11000.0	22000.0	16500.0	11000.0	16500.0	1	1	0	1	1	0	0	0	0	0	0	3	11	1
33	1990	Master	Single	120000000.0	0	0	01-01-2020	30	28500.0	9500.0	19000.0	14250.0	9500.0	14250.0	1	1	0	1	1	0	0	0	0	0	0	3	11	1
34	1990	Master	Single	0.0	0	0	01-01-2020	30	32.05	12.05	12.12	9.55	10.35	9.74	0	0	0	0	1	0	0	0	0	0	0	3	11	0
35	1990	Master	Married	500000000.0	0	0	01-01-2020	30	211.38	162.06	265.95	115.35	97.68	54.91	0	0	0	0	1	0	0	0	0	0	0	3	11	0
36	1990	Master	Single	10000000.0	0	0	01-01-2020	30	12.35	4.6	3.07	6.78	6.69	4.58	0	0	0	0	1	0	0	0	0	0	0	3	11	0
37	1990	PhD	Married	296000000.0	1	0	01-01-2020	30	282.35	119.44	136.16	132.61	159.98	40.08	0	0	0	0	1	0	0	0	0	0	0	3	11	0
