ID	Year_Birth	Education	Marital_Status	Income	Kidhome	Teenhome	Dt_Customer	Recency	MntWines	MntFruits	MntMeatProducts	MntFishProducts	MntSweetProducts	MntGoldProds	NumDealsPurchases	NumWebPurchases	NumCatalogPurchases	NumStorePurchases	NumWebVisitsMonth	AcceptedCmp3	AcceptedCmp4	AcceptedCmp5	AcceptedCmp1	AcceptedCmp2	Complain	Z_CostContact	Z_Revenue	Response
1	2005	Graduation	Single	2219855.0	1	0	01-01-2024	27	85938	28646	57292	42969	28646	42969	1	2	0	0	5	0	0	0	0	0	0	3	11	1
2	2001	Basic	Single	1335542.0	0	0	01-01-2024	28	191199	63733	127466	95599	63733	95599	1	4	0	1	7	0	0	0	0	0	0	3	11	1
3	2002	Basic	Single	4127589.0	0	0	01-01-2024	4	472863	157621	315242	236431	157621	236431	1	10	0	3	20	0	0	0	0	0	0	3	11	1
4	2000	Basic	Single	2873763.0	0	0	01-01-2024	13	83986	27995	55991	41993	27995	41993	0	2	0	0	4	0	0	0	0	0	0	3	11	1
5	2000	Basic	Single	4721744.0	0	0	01-01-2024	0	356591	118863	237727	178295	118863	178295	1	7	0	2	20	0	0	0	0	0	0	3	11	1
6	2003	Basic	Single	2965712.0	0	0	01-01-2024	10	32873	10957	21915	16436	10957	16436	0	1	0	0	2	0	0	0	0	0	0	3	11	0
7	2000	Graduation	Single	1306436.0	0	0	01-01-2024	26	43098	14366	28732	21549	14366	21549	0	1	0	0	4	0	0	0	0	0	0	3	11	0
8	2006	Graduation	Single	4065595.0	0	0	01-01-2024	10	34534	11511	23023	17267	11511	17267	0	1	0	0	4	0	0	0	0	0	0	3	11	0
9	2007	Basic	Single	1193841.0	0	0	01-01-2024	17	45000	15000	30000	22500	15000	22500	0	0	0	0	2	0	0	0	0	0	0	3	11	0
10	2004	Basic	Single	2414319.0	0	0	01-01-2024	23	107275	35758	71517	53637	35758	53637	0	2	0	0	4	0	0	0	0	0	0	3	11	1
11	2007	Graduation	Single	2787759.0	0	0	01-01-2024	26	117750	39250	78500	58875	39250	58875	0	3	0	1	16	0	0	0	0	0	0	3	11	1
12	2004	Basic	Single	2673125.0	0	0	01-01-2024	29	130819	43606	87213	65409	43606	65409	0	3	0	1	13	0	0	0	0	0	0	3	11	1
13	2007	Graduation	Single	2141196.0	0	0	01-01-2024	2	139039	46346	92693	69519	46346	69519	1	3	0	1	10	0	0	0	0	0	0	3	11	1
14	2000	Basic	Single	1411329.0	0	0	01-01-2024	23	45000	15000	30000	22500	15000	22500	0	0	0	0	2	0	0	0	0	0	0	3	11	0
15	2003	Basic	Single	1610055.0	0	0	01-01-2024	27	44380	14793	29587	22190	14793	22190	0	1	0	0	3	0	0	0	0	0	0	3	11	0
16	2005	Basic	Single	1950268.0	0	0	01-01-2024	0	48902	16300	32601	24451	16300	24451	0	1	0	0	2	0	0	0	0	0	0	3	11	0
17	2004	Graduation	Single	4918636.0	0	0	01-01-2024	2	65036	21678	43357	32518	21678	32518	0	1	0	0	9	0	0	0	0	0	0	3	11	1
18	2001	Graduation	Single	2105405.0	0	0	01-01-2024	12	75813	25271	50542	37906	25271	37906	0	2	0	0	4	0	0	0	0	0	0	3	11	1
19	2000	Basic	Single	1190911.0	0	0	01-01-2024	17	85344	28448	56896	42672	28448	42672	0	2	0	0	3	0	0	0	0	0	0	3	11	1
20	2001	Basic	Single	2554714.0	0	0	01-01-2024	6	136802	45600	91201	68401	45600	68401	1	3	0	1	14	0	0	0	0	0	0	3	11	1
21	2006	Basic	Single	2140991.0	0	0	01-01-2024	24	57694	19231	38463	28847	19231	28847	0	1	0	0	4	0	0	0	0	0	0	3	11	0
22	2004	Graduation	Single	2559489.0	0	0	01-01-2024	11	90000	30000	60000	45000	30000	45000	0	0	0	0	1	0	0	0	0	0	0	3	11	1
23	2002	Basic	Single	3447483.0	0	0	01-01-2024	23	61595	20531	41063	30797	20531	30797	0	1	0	0	3	0	0	0	0	0	0	3	11	1
24	2004	Basic	Single	1833338.0	1	0	01-01-2024	12	48083	16027	32055	24041	16027	24041	0	1	0	0	3	0	0	0	0	0	0	3	11	0
25	2006	Basic	Single	1211750.0	0	0	01-01-2024	19	237257	79085	158171	118628	79085	118628	1	5	0	1	12	0	0	0	0	0	0	3	11	1
26	2002	Graduation	Married	3301106.0	0	0	01-01-2024	25	90000	30000	60000	45000	30000	45000	0	0	0	0	7	0	0	0	0	0	0	3	11	1
27	2007	Basic	Single	2040064.0	0	0	01-01-2024	10	87726	29242	58484	43863	29242	43863	0	2	0	0	3	0	0	0	0	0	0	3	11	1
28	2006	Basic	Married	1017426.0	0	0	01-01-2024	12	52773	17591	35182	26386	17591	26386	0	1	0	0	7	0	0	0	0	0	0	3	11	0
29	2000	Graduation	Single	2642311.0	0	0	01-01-2024	19	90000	30000	60000	45000	30000	45000	0	0	0	0	5	0	0	0	0	0	0	3	11	1
30	2001	Graduation	Married	4301555.0	0	0	01-01-2024	6	103887	34629	69258	51943	34629	51943	2	3	0	1	8	0	0	0	0	0	0	3	11	1
31	2001	Basic	Single	2769852.0	0	0	01-01-2024	29	98818	32939	65879	49409	32939	49409	1	2	0	0	4	0	0	0	0	0	0	3	11	1
32	2002	Basic	Single	3759387.0	0	0	01-01-2024	3	77032	25677	51355	38516	25677	38516	0	2	0	0	4	0	0	0	0	0	0	3	11	1
33	2007	Basic	Single	1293432.0	0	0	01-01-2024	9	193706	64568	129137	96853	64568	96853	1	4	0	1	6	0	0	0	0	0	0	3	11	1
34	2007	Graduation	Single	2706726.0	0	0	01-01-2024	12	41121	13707	27414	20560	13707	20560	0	1	0	0	1	0	0	0	0	0	0	3	11	0
35	2005	Graduation	Married	4170709.0	0	0	01-01-2024	14	150000	50000	100000	75000	50000	75000	0	0	0	0	2	0	0	0	0	0	0	3	11	1
36	2005	Graduation	Single	4092538.0	0	0	01-01-2024	21	150000	50000	100000	75000	50000	75000	0	0	0	0	1	0	0	0	0	0	0	3	11	1
37	2002	Graduation	Single	2215929.0	0	0	01-01-2024	2	66137	22045	44091	33068	22045	33068	0	1	0	0	2	0	0	0	0	0	0	3	11	1
38	2001	Graduation	Married	3630202.0	0	0	01-01-2024	2	148212	49404	98808	74106	49404	74106	1	3	0	1	6	0	0	0	0	0	0	3	11	1
39	2002	Basic	Married	1408709.0	0	0	01-01-2024	14	85320	28440	56880	42660	28440	42660	0	2	0	0	4	0	0	0	0	0	0	3	11	1
40	2000	Basic	Single	1394049.0	0	0	01-01-2024	12	72314	24104	48209	36157	24104	36157	1	2	0	0	2	0	0	0	0	0	0	3	11	1
41	2000	Graduation	Single	1543877.0	0	0	01-01-2024	15	45000	15000	30000	22500	15000	22500	0	0	0	0	2	0	0	0	0	0	0	3	11	0
42	2001	Basic	Single	2903822.0	0	0	01-01-2024	13	43998	14666	29332	21999	14666	21999	0	1	0	0	1	0	0	0	0	0	0	3	11	0
43	2007	Basic	Single	4989563.0	0	0	01-01-2024	9	150000	50000	100000	75000	50000	75000	0	0	0	0	2	0	0	0	0	0	0	3	11	1
44	2002	Graduation	Single	1081540.0	1	0	01-01-2024	22	112089	37363	74726	56044	37363	56044	1	2	0	0	5	0	0	0	0	0	0	3	11	1
45	2000	Basic	Single	1508039.0	0	0	01-01-2024	13	61647	20549	41098	30823	20549	30823	0	1	0	0	3	0	0	0	0	0	0	3	11	1
46	2002	Basic	Single	1596861.0	0	0	01-01-2024	10	38611	12870	25741	19305	12870	19305	0	1	0	0	4	0	0	0	0	0	0	3	11	0
47	2007	Basic	Single	4869427.0	0	0	01-01-2024	8	110232	36744	73488	55116	36744	55116	0	3	0	1	8	0	0	0	0	0	0	3	11	1
48	2004	Basic	Single	3209717.0	0	0	01-01-2024	29	90000	30000	60000	45000	30000	45000	0	0	0	0	6	0	0	0	0	0	0	3	11	1
49	2006	Basic	Single	1483246.0	0	0	01-01-2024	18	35172	11724	23448	17586	11724	17586	0	1	0	0	3	0	0	0	0	0	0	3	11	0
50	2003	Basic	Single	4899970.0	0	0	01-01-2024	25	61173	20391	40782	30586	20391	30586	0	1	0	0	3	0	0	0	0	0	0	3	11	1
51	2000	Basic	Single	4018487.0	0	0	01-01-2024	22	150000	50000	100000	75000	50000	75000	0	0	0	0	1	0	0	0	0	0	0	3	11	1
52	2005	Graduation	Single	2124536.0	0	0	01-01-2024	2	115285	38428	76856	57642	38428	57642	0	3	0	1	5	0	0	0	0	0	0	3	11	1
53	2007	Basic	Single	4490497.0	0	0	01-01-2024	7	137857	45952	91904	68928	45952	68928	1	3	0	1	3	0	0	0	0	0	0	3	11	1
54	2002	Graduation	Single	2732200.0	0	0	01-01-2024	13	90000	30000	60000	45000	30000	45000	0	0	0	0	2	0	0	0	0	0	0	3	11	1
55	2001	Graduation	Single	3813808.0	0	0	01-01-2024	21	90000	30000	60000	45000	30000	45000	0	0	0	0	2	0	0	0	0	0	0	3	11	1
56	2003	Graduation	Single	3743258.0	0	0	01-01-2024	27	90000	30000	60000	45000	30000	45000	0	0	0	0	5	0	0	0	0	0	0	3	11	1
57	2004	Graduation	Single	2270455.0	0	0	01-01-2024	24	109962	36654	73308	54981	36654	54981	1	3	0	1	5	0	0	0	0	0	0	3	11	1
58	2007	Basic	Single	2143105.0	0	0	01-01-2024	17	90000	30000	60000	45000	30000	45000	0	0	0	0	3	0	0	0	0	0	0	3	11	1
59	2001	Basic	Single	2116506.0	0	0	01-01-2024	16	49028	16342	32685	24514	16342	24514	0	1	0	0	2	0	0	0	0	0	0	3	11	0
60	2003	Basic	Single	3233880.0	0	0	01-01-2024	20	36067	12022	24045	18033	12022	18033	0	1	0	0	2	0	0	0	0	0	0	3	11	0
61	2003	Basic	Single	4693186.0	1	0	01-01-2024	7	34627	11542	23085	17313	11542	17313	0	1	0	0	2	0	0	0	0	0	0	3	11	0
62	2003	Graduation	Single	3075970.0	0	0	01-01-2024	24	90000	30000	60000	45000	30000	45000	0	0	0	0	1	0	0	0	0	0	0	3	11	1
63	2002	Graduation	Single	4672683.0	0	0	01-01-2024	24	54174	18058	36116	27087	18058	27087	0	1	0	0	5	0	0	0	0	0	0	3	11	0
64	2007	Basic	Single	4170365.0	0	0	01-01-2024	13	150000	50000	100000	75000	50000	75000	0	0	0	0	2	0	0	0	0	0	0	3	11	1
65	2007	Graduation	Single	4334610.0	0	0	01-01-2024	8	90150	30050	60100	45075	30050	45075	1	2	0	0	3	0	0	0	0	0	0	3	11	1
66	2007	Basic	Single	3991704.0	0	0	01-01-2024	24	90000	30000	60000	45000	30000	45000	0	0	0	0	1	0	0	0	0	0	0	3	11	1
67	2006	Basic	Single	4734203.0	0	0	01-01-2024	17	122592	40864	81728	61296	40864	61296	0	2	0	0	5	0	0	0	0	0	0	3	11	1
